station_id,fecha,prec,prcp
8416,2011-02-13,Ip,
8416,2011-03-29,Ip,
8416,2011-04-02,Ip,
8416,2011-04-03,Ip,
8416,2011-07-02,Ip,
8416,2011-07-14,Ip,
8416,2011-07-22,Ip,
8416,2011-07-23,Ip,
8416,2011-08-29,Ip,
8416,2011-11-28,Ip,
8416,2012-01-26,Ip,
8416,2012-02-04,Ip,
8416,2012-02-05,Ip,
8416,2012-02-14,Ip,
8416,2012-12-31,Ip,
8416,2013-05-16,Ip,
8416,2013-10-03,Ip,
8416,2013-10-22,Ip,
8416,2013-10-29,Ip,
8416,2013-12-18,Ip,
8416,2014-01-12,Ip,
8416,2014-01-29,Ip,
8416,2014-02-26,Ip,
8416,2014-03-24,Ip,
8416,2014-03-25,Ip,
8416,2014-05-11,Ip,
8416,2014-05-21,Ip,
8416,2014-06-17,Ip,
8416,2014-06-19,Ip,
8416,2014-09-25,Ip,
8416,2014-12-19,Ip,
8416,2015-02-09,Ip,
8416,2015-03-13,Ip,
8416,2015-03-25,Ip,
8416,2015-04-08,Ip,
8416,2015-04-26,Ip,
8416,2015-06-16,Ip,
8416,2015-07-26,Ip,
8416,2015-09-08,Ip,
8416,2015-10-26,Ip,
8416,2015-11-25,Ip,
8416,2016-02-18,Ip,
8416,2016-02-21,Ip,
8416,2016-03-22,Ip,
8416,2016-06-28,Ip,
8416,2016-06-29,Ip,
8416,2016-07-20,Ip,
8416,2016-07-22,Ip,
8416,2016-10-13,Ip,
8416,2017-01-17,Ip,
8416,2017-02-11,Ip,
8416,2017-02-22,Ip,
8416,2017-04-18,Ip,
8416,2017-05-10,Ip,
8416,2017-05-21,Ip,
8416,2017-11-04,Ip,
8416,2017-11-08,Ip,
8416,2018-02-14,Ip,
8416,2018-02-16,Ip,
8416,2018-03-24,Ip,
8416,2018-03-25,Ip,
8416,2018-04-06,Ip,
8416,2018-04-15,Ip,
8416,2018-05-04,Ip,
8416,2018-05-22,Ip,
8416,2018-07-22,Ip,
8416,2018-08-23,Ip,
