year,observed_days,prec_missing,station_id,expected_days,coverage_pct
2011,365,2,3195,365,100.0
2012,366,8,3195,366,100.0
2013,365,6,3195,365,100.0
2014,365,1,3195,365,100.0
2015,365,6,3195,365,100.0
2016,366,3,3195,366,100.0
2017,365,2,3195,365,100.0
2018,365,5,3195,365,100.0
2019,365,1,3195,365,100.0
2020,366,1,3195,366,100.0
2021,365,0,3195,365,100.0
2022,364,4,3195,365,99.726
2023,365,86,3195,365,100.0
2024,366,0,3195,366,100.0
2025,365,0,3195,365,100.0
