period_year,expected_days,observed_prcp_days,missing_prcp_days,coverage_pct,prcp_observed_total_mm,complete
2011,365,363,2,99.452,380.4,False
2012,366,358,8,97.814,331.70000000000005,False
2013,365,359,6,98.356,373.0,False
2014,365,364,1,99.726,417.3,False
2015,365,359,6,98.356,278.4,False
2016,366,363,3,99.18,486.0,False
2017,365,363,2,99.452,256.1,False
2018,365,360,5,98.63,589.2,False
2019,365,364,1,99.726,391.49999999999994,False
2020,366,365,1,99.727,474.4,False
2021,365,365,0,100.0,623.4,True
2022,365,360,5,98.63,449.40000000000003,False
2023,365,279,86,76.438,162.6,False
2024,366,366,0,100.0,343.2,True
2025,365,365,0,100.0,638.6,True
