period_year,expected_days,observed_prcp_days,missing_prcp_days,coverage_pct,prcp_observed_total_mm,complete
2016,314,288,26,91.72,271.59999999999997,False
2017,365,365,0,100.0,172.8,True
2018,365,365,0,100.0,246.0,True
2019,365,365,0,100.0,462.4,True
2020,366,366,0,100.0,394.2,True
2021,365,365,0,100.0,485.4,True
2022,365,362,3,99.178,440.0,False
2023,365,363,2,99.452,201.8,False
2024,366,359,7,98.087,158.0,False
2025,365,365,0,100.0,420.40000000000003,True
