period_month,expected_days,observed_prcp_days,missing_prcp_days,coverage_pct,prcp_observed_total_mm,complete
2021-03,31,28,3,90.323,39.9,False
2021-04,30,30,0,100.0,65.39999999999999,True
2021-05,31,28,3,90.323,26.099999999999998,False
2021-06,30,29,1,96.667,20.4,False
2021-07,31,30,1,96.774,11.2,False
2021-08,31,28,3,90.323,51.0,False
2021-09,30,28,2,93.333,70.1,False
2021-10,31,29,2,93.548,25.0,False
2021-11,30,29,1,96.667,84.0,False
2021-12,31,27,4,87.097,0.5,False
2022-01,31,31,0,100.0,11.899999999999999,True
2022-02,28,25,3,89.286,5.8999999999999995,False
2022-03,31,27,4,87.097,195.3,False
2022-04,30,29,1,96.667,82.7,False
2022-05,31,31,0,100.0,237.89999999999998,True
2022-06,30,30,0,100.0,3.4000000000000004,True
2022-07,31,29,2,93.548,3.5,False
2022-08,31,31,0,100.0,19.400000000000002,True
2022-09,30,28,2,93.333,30.200000000000003,False
2022-10,31,27,4,87.097,29.5,False
2022-11,30,27,3,90.0,48.4,False
2022-12,31,29,2,93.548,12.7,False
2023-01,31,29,2,93.548,0.6,False
2023-02,28,27,1,96.429,36.2,False
2023-03,31,31,0,100.0,1.2,True
2023-04,30,27,3,90.0,0.0,False
2023-05,31,27,4,87.097,30.799999999999997,False
2023-06,30,29,1,96.667,25.0,False
2023-07,31,28,3,90.323,36.900000000000006,False
2023-08,31,31,0,100.0,20.599999999999998,True
2023-09,30,30,0,100.0,149.8,True
2023-10,31,27,4,87.097,3.0,False
2023-11,30,30,0,100.0,0.2,True
2023-12,31,31,0,100.0,3.2,True
2024-01,31,29,2,93.548,9.899999999999999,False
2024-02,29,28,1,96.552,8.2,False
2024-03,31,30,1,96.774,24.0,False
2024-04,30,29,1,96.667,18.0,False
2024-05,31,28,3,90.323,3.5,False
2024-06,30,27,3,90.0,51.0,False
2024-07,31,31,0,100.0,21.3,True
2024-08,31,30,1,96.774,1.0,False
2024-09,30,27,3,90.0,97.5,False
2024-10,31,29,2,93.548,80.79999999999998,False
2024-11,30,28,2,93.333,27.299999999999997,False
2024-12,31,30,1,96.774,23.7,False
2025-01,31,30,1,96.774,21.799999999999997,False
2025-02,28,27,1,96.429,7.7,False
2025-03,31,28,3,90.323,73.7,False
2025-04,30,26,4,86.667,16.6,False
2025-05,31,27,4,87.097,15.100000000000001,False
2025-06,30,29,1,96.667,10.1,False
2025-07,31,29,2,93.548,17.3,False
2025-08,31,29,2,93.548,2.4,False
2025-09,30,28,2,93.333,121.5,False
2025-10,31,31,0,100.0,178.3,True
2025-11,30,29,1,96.667,9.9,False
2025-12,31,28,3,90.323,110.80000000000001,False
