period_month,expected_days,observed_prcp_days,missing_prcp_days,coverage_pct,prcp_observed_total_mm,complete
2011-01,31,31,0,100.0,11.5,True
2011-02,28,27,1,96.429,2.3,False
2011-03,31,30,1,96.774,84.5,False
2011-04,30,28,2,93.333,58.4,False
2011-05,31,31,0,100.0,62.5,True
2011-06,30,30,0,100.0,21.9,True
2011-07,31,27,4,87.097,7.5,False
2011-08,31,30,1,96.774,4.0,False
2011-09,30,30,0,100.0,50.4,True
2011-10,31,31,0,100.0,32.099999999999994,True
2011-11,30,29,1,96.667,100.69999999999999,False
2011-12,31,31,0,100.0,8.7,True
2012-01,31,30,1,96.774,53.00000000000001,False
2012-02,29,26,3,89.655,0.0,False
2012-03,31,31,0,100.0,44.4,True
2012-04,30,30,0,100.0,30.3,True
2012-05,31,31,0,100.0,0.7000000000000001,True
2012-06,30,30,0,100.0,0.6,True
2012-07,31,31,0,100.0,0.4,True
2012-08,31,31,0,100.0,0.0,True
2012-09,30,30,0,100.0,61.2,True
2012-10,31,31,0,100.0,43.5,True
2012-11,30,30,0,100.0,55.900000000000006,True
2012-12,31,30,1,96.774,5.2,False
2013-01,31,31,0,100.0,5.300000000000001,True
2013-02,28,28,0,100.0,88.1,True
2013-03,31,31,0,100.0,48.0,True
2013-04,30,30,0,100.0,90.4,True
2013-05,31,30,1,96.774,12.299999999999999,False
2013-06,30,30,0,100.0,10.1,True
2013-07,31,31,0,100.0,3.4000000000000004,True
2013-08,31,31,0,100.0,34.1,True
2013-09,30,30,0,100.0,0.0,True
2013-10,31,28,3,90.323,12.7,False
2013-11,30,30,0,100.0,10.2,True
2013-12,31,30,1,96.774,11.2,False
2014-01,31,29,2,93.548,6.0,False
2014-02,28,27,1,96.429,11.5,False
2014-03,31,29,2,93.548,24.7,False
2014-04,30,30,0,100.0,7.3999999999999995,True
2014-05,31,29,2,93.548,11.0,False
2014-06,30,28,2,93.333,18.400000000000002,False
2014-07,31,31,0,100.0,33.099999999999994,True
2014-08,31,31,0,100.0,0.5,True
2014-09,30,29,1,96.667,54.8,False
2014-10,31,31,0,100.0,4.6,True
2014-11,30,30,0,100.0,71.4,True
2014-12,31,30,1,96.774,45.4,False
2015-01,31,31,0,100.0,9.8,True
2015-02,28,27,1,96.429,4.7,False
2015-03,31,29,2,93.548,102.0,False
2015-04,30,28,2,93.333,3.6,False
2015-05,31,31,0,100.0,16.4,True
2015-06,30,29,1,96.667,55.2,False
2015-07,31,30,1,96.774,11.3,False
2015-08,31,31,0,100.0,17.299999999999997,True
2015-09,30,29,1,96.667,86.0,False
2015-10,31,30,1,96.774,49.0,False
2015-11,30,29,1,96.667,64.6,False
2015-12,31,31,0,100.0,0.1,True
2016-01,31,31,0,100.0,1.2000000000000002,True
2016-02,29,27,2,93.103,2.8,False
2016-03,31,30,1,96.774,6.4,False
2016-04,30,30,0,100.0,18.7,True
2016-05,31,31,0,100.0,27.9,True
2016-06,30,28,2,93.333,1.9,False
2016-07,31,29,2,93.548,0.0,False
2016-08,31,31,0,100.0,30.2,True
2016-09,30,30,0,100.0,52.3,True
2016-10,31,30,1,96.774,33.300000000000004,False
2016-11,30,30,0,100.0,201.6,True
2016-12,31,31,0,100.0,168.3,True
2017-01,31,30,1,96.774,153.3,False
2017-02,28,26,2,92.857,12.5,False
2017-03,31,31,0,100.0,52.00000000000001,True
2017-04,30,29,1,96.667,23.0,False
2017-05,31,29,2,93.548,11.8,False
2017-06,30,30,0,100.0,20.8,True
2017-07,31,31,0,100.0,1.9,True
2017-08,31,31,0,100.0,26.400000000000002,True
2017-09,30,30,0,100.0,6.0,True
2017-10,31,31,0,100.0,17.0,True
2017-11,30,28,2,93.333,7.4,False
2017-12,31,31,0,100.0,3.5,True
2018-01,31,31,0,100.0,26.5,True
2018-02,28,26,2,92.857,59.5,False
2018-03,31,29,2,93.548,19.099999999999998,False
2018-04,30,28,2,93.333,17.5,False
2018-05,31,29,2,93.548,10.7,False
2018-06,30,30,0,100.0,105.19999999999999,True
2018-07,31,30,1,96.774,1.2,False
2018-08,31,29,2,93.548,13.600000000000001,False
2018-09,30,30,0,100.0,147.9,True
2018-10,31,31,0,100.0,189.69999999999996,True
2018-11,30,30,0,100.0,192.40000000000003,True
2018-12,31,31,0,100.0,11.2,True
2019-01,31,30,1,96.774,0.7,False
2019-02,28,28,0,100.0,0.0,True
2019-03,31,31,0,100.0,20.6,True
2019-04,30,29,1,96.667,64.6,False
2019-05,31,30,1,96.774,22.800000000000004,False
2019-06,30,30,0,100.0,0.0,True
2019-07,31,31,0,100.0,7.1,True
2019-08,31,31,0,100.0,10.200000000000001,True
2019-09,30,30,0,100.0,113.79999999999998,True
2019-10,31,31,0,100.0,27.0,True
2019-11,30,30,0,100.0,3.8,True
2019-12,31,31,0,100.0,87.00000000000001,True
2020-01,31,30,1,96.774,139.3,False
2020-02,29,29,0,100.0,1.6,True
2020-03,31,30,1,96.774,53.400000000000006,False
2020-04,30,26,4,86.667,49.900000000000006,False
2020-05,31,30,1,96.774,23.999999999999996,False
2020-06,30,28,2,93.333,38.1,False
2020-07,31,30,1,96.774,10.600000000000001,False
2020-08,31,30,1,96.774,4.4,False
2020-09,30,27,3,90.0,18.9,False
2020-10,31,29,2,93.548,6.1000000000000005,False
2020-11,30,30,0,100.0,250.1,True
2020-12,31,30,1,96.774,4.4,False
2021-01,31,30,1,96.774,34.400000000000006,False
2021-02,28,26,2,92.857,19.3,False
