year,observed_days,prec_missing,station_id,expected_days,coverage_pct
2011,365,10,8416,365,100.0
2012,366,5,8416,366,100.0
2013,365,5,8416,365,100.0
2014,365,11,8416,365,100.0
2015,365,10,8416,365,100.0
2016,366,8,8416,366,100.0
2017,365,8,8416,365,100.0
2018,365,11,8416,365,100.0
2019,365,3,8416,365,100.0
2020,366,17,8416,366,100.0
2021,365,23,8416,365,100.0
2022,365,21,8416,365,100.0
2023,365,18,8416,365,100.0
2024,366,20,8416,366,100.0
2025,365,24,8416,365,100.0
